"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"2/25/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",1,"Winter","unknown","Selasphorus spp.","6361_ALHU"
"5/28/2014","Released","malibu","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","6243_ANHU"
"3/15/2014","Released","Lindsey","Yes","ANHU","Male","adult-like",3,"Spring","nest-related","Non-selasphorus spp.","4903_ANHU"
"3/14/2013","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","4640_ANHU"
"7/3/2002","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","2300_ANHU"
"5/12/2015","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","6419_ALHU"
"4/15/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","70_ANHU"
"7/8/2015","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",1,"Summer","found on the ground","Selasphorus spp.","6476_ALHU"
"11/2/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Fall","unknown","Selasphorus spp.","6535_ALHU"
"4/10/2009","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","3687_ANHU"
"8/8/2016","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","5692_ANHU"
"5/5/2009","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","3717_ANHU"
"5/10/2006","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","3090_ANHU"
"3/8/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3639_ANHU"
"11/9/2000","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Fall","window hit","Non-selasphorus spp.","1926_ANHU"
"6/19/2003","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","2516_ANHU"
"4/22/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3069_ANHU"
"4/21/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1396_ANHU"
"3/22/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",8,"Spring","unknown","Non-selasphorus spp.","224_ANHU"
"6/22/2016","Died","Santa Barbara","No","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","6888_ANHU"
"4/23/1997","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1217_ANHU"
"10/14/2002","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","2339_ANHU"
"4/18/2006","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","3063_RUHU"
"5/5/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",9,"Spring","unknown","Non-selasphorus spp.","1621_ANHU"
"7/3/1995","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",32,"Summer","found on the ground","Non-selasphorus spp.","889_ANHU"
"2/1/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","373_ANHU"
"3/30/2015","Released","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6529_ANHU"
"9/6/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","window hit","Non-selasphorus spp.","1907_ANHU"
"4/5/1993","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","421_ANHU"
"9/27/2010","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4062_ANHU"
"2/17/2015","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","5183_ANHU"
"3/16/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1765_ANHU"
"10/3/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","unknown","Non-selasphorus spp.","1123_ANHU"
"6/26/2013","Released","malibu","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","5866_ANHU"
"7/19/2012","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4535_ANHU"
"4/16/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","5275_ANHU"
"6/1/2007","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","3304_ANHU"
"4/6/2001","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2014_ANHU"
"2/26/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","1165_ANHU"
"2/20/2011","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","4103_ANHU"
"6/21/2014","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6311_ALHU"
"12/24/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found inside","Non-selasphorus spp.","190_ANHU"
"7/11/1994","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","701_ANHU"
"4/25/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","3267_ANHU"
"5/29/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5020_ANHU"
"2/28/2014","Died","malibu","Yes","Selasphorus","unknown","Nestling",0,"Winter","found on the ground","Selasphorus spp.","6051_ALHU"
"4/24/1991","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","81_ALHU"
"3/21/2010","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","3888_ANHU"
"5/4/1997","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","1225_ANHU"
"2/12/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","5174_ANHU"
"2/12/2016","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","5489_ANHU"
"6/8/2011","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","4244_ANHU"
"8/17/1996","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","caught by domestic animal","Selasphorus spp.","1114_ALHU"
"4/19/2013","Released","malibu","Yes","Selasphorus","unknown","Nestling",1,"Spring","caught by domestic animal","Selasphorus spp.","5782_ALHU"
"6/20/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6771_ALHU"
"7/11/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3346_ANHU"
"6/20/2016","Died","Santa Barbara","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","6886_ANHU"
"6/14/2005","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2918_ANHU"
"12/31/2015","Released","malibu","No","ANHU","Female-like ","adult-like",244,"Winter","unknown","Non-selasphorus spp.","6562_ANHU"
"8/30/2001","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2118_ANHU"
"3/15/2005","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","2818_ANHU"
"5/23/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5010_ANHU"
"4/2/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","1573_ANHU"
"3/11/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","29_ANHU"
"3/14/1997","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","unknown","Non-selasphorus spp.","1176_ANHU"
"6/16/2006","Died","Lindsey","No","Selasphorus","unknown","Nestling",0,"Summer","found on the ground","Selasphorus spp.","3113_ALHU"
"3/27/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","window hit","Non-selasphorus spp.","3041_ANHU"
"7/19/2000","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","unknown","Non-selasphorus spp.","1893_ANHU"
"5/16/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","2692_ANHU"
"4/10/2016","Died","malibu","No","Selasphorus","Female-like ","adult-like",1,"Spring","caught by domestic animal","Selasphorus spp.","6672_ALHU"
"7/11/2001","Released","Lindsey","Yes","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","2092_ALHU"
"5/20/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1421_ANHU"
"4/4/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2650_ANHU"
"6/14/2013","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",6,"Summer","found on the ground","Non-selasphorus spp.","4758_ANHU"
"6/3/2016","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","6745_ANHU"
"12/27/1993","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","unknown","Non-selasphorus spp.","562_ANHU"
"2/3/2011","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","4095_ANHU"
"4/23/2016","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","5585_ANHU"
"6/1/2013","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4741_ANHU"
"3/20/2014","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","4912_ANHU"
"11/12/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","found on the ground","Non-selasphorus spp.","2579_ANHU"
"12/5/2016","Died","malibu","Yes","ANHU","Female-like ","adult-like",1,"Winter","window hit","Non-selasphorus spp.","6830_ANHU"
"4/11/2016","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5575_ANHU"
"6/8/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2504_ANHU"
"8/12/2015","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",1,"Summer","found on the ground","Selasphorus spp.","5432_ALHU"
"7/19/2008","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","3555_ANHU"
"6/30/1999","Died","Lindsey","No","BCHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1684_BCHU"
"2/19/2004","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Winter","found on the ground","Non-selasphorus spp.","2614_ANHU"
"5/2/2011","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4192_ANHU"
"5/25/2005","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2891_ANHU"
"2/21/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","2801_ANHU"
"6/5/2013","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","unknown","Non-selasphorus spp.","4745_ANHU"
"4/4/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1369_ANHU"
"3/29/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4924_ANHU"
"3/6/2000","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1755_ANHU"
"4/8/2012","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","suspect torpor-like state","Selasphorus spp.","4420_RUHU"
"4/4/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","2841_ANHU"
"2/13/2002","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",13,"Winter","found on the ground","Non-selasphorus spp.","2153_ANHU"
"7/19/2013","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","4794_ANHU"
"8/21/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","172_ANHU"
"8/10/1994","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",3,"Summer","found on the ground","Non-selasphorus spp.","718_ANHU"
"3/19/2011","Died","Lindsey","Yes","ANHU","Male","adult-like",2,"Spring","found on the ground","Non-selasphorus spp.","4129_ANHU"
"5/5/2009","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","3720_ANHU"
"5/26/2012","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","4480_ANHU"
"4/8/2010","Released","Lindsey","Yes","ANHU","Male","adult-like",1,"Spring","unknown","Non-selasphorus spp.","3908_ANHU"
"5/6/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","634_ANHU"
"7/12/1997","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",5,"Summer","found on the ground","Non-selasphorus spp.","1288_ANHU"
"4/20/2005","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","2859_ANHU"
"6/2/2016","Died","malibu","No","ANHU","Male","adult-like",0,"Summer","unknown","Non-selasphorus spp.","6743_ANHU"
"3/8/2009","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","3640_ANHU"
"9/18/2014","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Fall","found on the ground","Selasphorus spp.","6234_ALHU"
"3/12/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",3,"Spring","nest-related","Non-selasphorus spp.","1355_ANHU"
"3/5/2014","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Spring","found on the ground","Non-selasphorus spp.","4889_ANHU"
"7/11/2002","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","2311_ANHU"
"8/16/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2559_ANHU"
"3/28/2016","Died","malibu","No","ANHU","Female-like ","adult-like",1,"Spring","unknown","Non-selasphorus spp.","6664_ANHU"
"1/30/2016","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","suspect torpor-like state","Non-selasphorus spp.","5480_ANHU"
"5/20/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","1420_ANHU"
"7/9/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","1463_ANHU"
"2/19/2006","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","3005_ANHU"
"4/8/2003","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","2445_ANHU"
"6/19/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","2517_ANHU"
"4/18/2013","Died","malibu","No","Non-selasphorus","unknown","Nestling",1,"Spring","unknown","Non-selasphorus spp.","5890_ANHU"
"4/27/2014","Released","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6276_ANHU"
"9/22/2014","Died","malibu","Yes","Selasphorus","Male","adult-like",1,"Fall","found on the ground","Selasphorus spp.","6235_ALHU"
"9/23/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","unknown","Non-selasphorus spp.","544_ANHU"
"3/17/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","2639_ANHU"
"5/1/2006","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3081_ANHU"
"6/29/1999","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1681_ANHU"
"5/28/2002","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2260_ANHU"
"2/28/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","2621_ANHU"
"10/28/2009","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","3829_ANHU"
"3/23/2013","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4655_ANHU"
"4/1/2002","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2193_ANHU"
"5/22/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6791_ALHU"
"4/28/2005","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2863_ANHU"
"7/31/2012","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4547_ANHU"
"7/24/2012","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","unknown","Non-selasphorus spp.","4543_ANHU"
"7/1/2012","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","nest-related","Non-selasphorus spp.","4518_ANHU"
"4/29/2006","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","3079_ANHU"
"5/16/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5941_ALHU"
"7/4/2009","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3777_ANHU"
"9/21/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","1503_ANHU"
"4/1/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","window hit","Non-selasphorus spp.","48_ANHU"
"6/4/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6792_ALHU"
"6/6/2013","Died","malibu","No","Selasphorus","unknown","Nestling",0,"Summer","nest-related","Selasphorus spp.","5839_ALHU"
"4/8/2006","Died","Lindsey","No","Selasphorus","unknown","Nestling",1,"Spring","nest-related","Selasphorus spp.","3052_RUHU"
"2/25/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1742_ANHU"
"3/19/1997","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","1187_ANHU"
"6/26/1993","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","508_ANHU"
"10/17/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Fall","caught by domestic animal","Non-selasphorus spp.","3825_ANHU"
"3/23/1994","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","593_ANHU"
"7/7/2014","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","5080_ANHU"
"8/11/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","6491_ALHU"
"3/21/2008","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3442_ANHU"
"7/19/2002","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","2314_RUHU"
"12/24/2011","Released","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","4339_ANHU"
"2/29/2016","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","6631_ANHU"
"7/16/2007","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","3352_ANHU"
"7/17/2016","Died","Santa Barbara","No","Selasphorus","Female-like ","adult-like",0,"Summer","caught by domestic animal","Selasphorus spp.","6908_ALHU"
"7/11/2015","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","5417_ANHU"
"1/15/2014","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Winter","window hit","Non-selasphorus spp.","4861_ANHU"
"4/8/2005","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2848_ANHU"
"2/13/2010","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","3862_ANHU"
"7/7/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","5077_ANHU"
"4/11/1997","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1208_ANHU"
"4/5/2001","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","2013_ANHU"
"5/5/1995","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","834_ANHU"
"4/26/2016","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","5591_ANHU"
"3/28/2003","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","2430_ANHU"
"2/27/1996","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","959_ANHU"
"4/11/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","1588_ANHU"
"1/16/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","740_ANHU"
"5/4/2001","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","2036_ANHU"
"4/9/2000","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","1786_ANHU"
"5/26/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","2258_ANHU"
"7/2/1991","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","143_ANHU"
"5/18/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3286_ANHU"
"5/19/2011","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","caught by domestic animal","Non-selasphorus spp.","4211_ANHU"
"5/3/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1620_ANHU"
"7/2/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","2740_ANHU"
"5/20/1996","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1052_ANHU"
"7/10/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1099_ANHU"
"11/13/2011","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4323_ANHU"
"4/8/2010","Released","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found inside","Non-selasphorus spp.","3907_ANHU"
"5/19/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","845_ANHU"
"3/25/2016","Released","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","6676_ANHU"
"6/28/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1877_ANHU"
"10/15/2016","Died","malibu","Yes","Selasphorus","Male","adult-like",3,"Fall","unknown","Selasphorus spp.","6813_ALHU"
"11/10/2012","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4579_ANHU"
"6/6/2015","Died","malibu","No","Selasphorus","unknown","Nestling",1,"Summer","nest-related","Selasphorus spp.","6450_ALHU"
"10/22/2002","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","2342_ANHU"
"7/7/2015","Released","malibu","No","Selasphorus","Female-like ","adult-like",-31,"Summer","unknown","Selasphorus spp.","6585_ALHU"
"4/16/2015","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","6394_ALHU"
"6/25/1993","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","504_ANHU"
"6/17/1999","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","1658_ANHU"
"3/31/2007","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","3238_ANHU"
"3/25/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2425_ANHU"
"4/15/1991","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Spring","unknown","Non-selasphorus spp.","77_ANHU"
"5/28/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","2704_ANHU"
"4/17/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","3693_ANHU"
